	CLDN18	ImmuneProxy
TCGA-3M-AB46-01	2.4346225817507037	-0.778165591433747
TCGA-3M-AB47-01	2.372373017918061	-0.10199245566434534
TCGA-B7-5816-01	2.749941262261684	0.28850163376140503
TCGA-B7-5818-01	2.651826109942029	-0.22388051696930322
TCGA-B7-A5TI-01	2.8280718659118547	-0.27640547595173903
TCGA-B7-A5TJ-01	2.735594466222085	-1.3391225612828994
TCGA-B7-A5TK-01	2.78121093138177	1.3908875239335319
TCGA-B7-A5TN-01	2.783184492935992	-0.2880997712059217
TCGA-BR-4187-01	2.080843964752632	0.35893590777900375
TCGA-BR-4191-01	2.9139577810116575	0.45737714515091865
TCGA-BR-4201-01	2.466030467074041	0.0869331314912637
TCGA-BR-4253-01	2.8780548396153067	1.5520359309356788
TCGA-BR-4255-01	2.836303300652653	0.6597933425715948
TCGA-BR-4256-01	2.8157426991706034	1.1374517124454164
TCGA-BR-4257-01	2.8035357561336287	0.5025901867999645
TCGA-BR-4267-01	3.015510958851096	-0.14809451593522377
TCGA-BR-4279-01	2.8222747952175165	0.23386382487350194
TCGA-BR-4280-01	2.287965585189294	0.5758158807036262
TCGA-BR-4292-01	2.859452403566689	1.043920612047748
TCGA-BR-4294-01	2.4554734287479025	-1.2279357571018545
TCGA-BR-4357-01	2.428126567488634	0.46992888582797965
TCGA-BR-4361-01	2.326378895156971	0.6212434156901039
TCGA-BR-4363-01	2.936211195235809	0.6144170948671499
TCGA-BR-4366-01	2.809425439266976	-0.25319785530192995
TCGA-BR-4367-01	2.8522573661211266	0.34924508845535185
TCGA-BR-4368-01	2.7038355946751715	0.7715349762538015
TCGA-BR-4369-01	2.3318444530168834	-0.052236446191897365
TCGA-BR-4370-01	2.5592636857570077	0.011783994700090623
TCGA-BR-4371-01	1.8550968666143979	-0.37854356988659066
TCGA-BR-6452-01	2.8059741075314073	0.6773849401852825
TCGA-BR-6453-01	2.5186670107245104	0.13480159096478272
TCGA-BR-6453-11	2.767235167356346	-0.21760167344564568
TCGA-BR-6454-01	2.592492659465148	0.7333607392403555
TCGA-BR-6454-11	2.880948113588643	-0.23884976623141066
TCGA-BR-6455-01	2.9223804189257447	1.0211166299991645
TCGA-BR-6456-01	2.471349843124886	0.47440621058279303
TCGA-BR-6457-01	2.745557405367559	-0.23716353694833797
TCGA-BR-6457-11	2.772299285595137	-0.24170721210104715
TCGA-BR-6458-01	2.7766243598821005	0.5220736070157792
TCGA-BR-6458-11	2.8604582510394914	-0.17615095475229076
TCGA-BR-6563-01	2.6192146244325145	0.49990041730551427
TCGA-BR-6564-01	2.587034964727749	-1.1131539351366895
TCGA-BR-6564-11	2.6998934740327005	0.18197558500970923
TCGA-BR-6565-01	2.667788072044331	0.6838628863302677
TCGA-BR-6566-01	2.483666745880323	-0.046358270975900784
TCGA-BR-6705-01	2.6874784146307045	-0.5459499469999206
TCGA-BR-6706-01	2.8075403539027413	1.0517992135457777
TCGA-BR-6707-01	2.8449605134853035	0.48732336265343734
TCGA-BR-6709-01	1.9393452630386494	0.9981227129130836
TCGA-BR-6710-01	2.8617826524976353	-0.8822038287377328
TCGA-BR-6801-01	1.73056755347011	-1.1406071890699896
TCGA-BR-6802-01	2.6522854366843593	0.6617894911300004
TCGA-BR-6802-11	2.8198416983450376	-0.23690977252448192
TCGA-BR-6803-01	2.791820339646493	-0.017230665436512305
TCGA-BR-6852-01	2.5250766795317743	1.2160210882640885
TCGA-BR-6852-11	2.889293854881733	0.24285884467570817
TCGA-BR-7196-01	2.9109737890704324	0.7880887938919932
TCGA-BR-7197-01	2.4327506110804316	-1.1562382615818765
TCGA-BR-7703-01	2.739876628634665	0.3877451664910949
TCGA-BR-7703-11	2.9388773525273244	0.4757238932861893
TCGA-BR-7704-01	2.6772780361756974	0.8830136933474487
TCGA-BR-7704-11	2.8182794067685153	0.19506127084735625
TCGA-BR-7707-01	2.6125096303719917	0.1375790976588741
TCGA-BR-7715-01	2.64779249492954	-0.6252639141891391
TCGA-BR-7715-11	2.783601973270359	0.3164378744230898
TCGA-BR-7716-01	2.626561814451563	1.213486565442014
TCGA-BR-7716-11	2.908675912756793	0.5119193347957588
TCGA-BR-7717-01	2.8025164371681166	-0.32651807884573614
TCGA-BR-7717-11	2.834278260651726	0.649864212273403
TCGA-BR-7722-01	2.9139586678720817	-0.8186860308908445
TCGA-BR-7723-01	2.26329420116628	0.4063961841274827
TCGA-BR-7851-01	2.0072664017660915	0.44021497395944004
TCGA-BR-7851-11	2.635323191105683	0.10193731791616079
TCGA-BR-7901-01	2.885175097083603	0.2944716166554205
TCGA-BR-7957-01	2.4823522669066356	0.21313278949768585
TCGA-BR-7958-01	2.8406365558650024	0.7108304452650809
TCGA-BR-7959-01	2.8054114402898622	0.41651590878789274
TCGA-BR-8058-01	2.909209417402422	0.7589835368944805
TCGA-BR-8059-01	2.829502285566497	-0.7323745157026131
TCGA-BR-8060-01	2.6345475993734584	0.3018655544184189
TCGA-BR-8060-11	2.7774171485382646	-0.3549058994624787
TCGA-BR-8077-01	2.6243815661077137	0.5537557021440691
TCGA-BR-8078-01	2.529242340053719	1.1909931456730538
TCGA-BR-8080-01	2.600608201224406	0.3135873870495449
TCGA-BR-8081-01	2.050036459437796	0.9580330148575655
TCGA-BR-8284-01	2.8975018279175164	1.3816054547446168
TCGA-BR-8286-01	2.8882787416471483	0.2727803645205659
TCGA-BR-8289-01	2.8937205496660963	0.05828577021302614
TCGA-BR-8291-01	2.8648331719307087	0.47847029757780285
